"age","workclass","education.num","marital.status","occupation","relationship","race","sex","hours.per.week","native.country","income"
50," Private",9," Married-civ-spouse"," Handlers-cleaners"," Husband"," Black"," Male",40," United-States"," <=50K"
45," Private",9," Divorced"," Adm-clerical"," Not-in-family"," White"," Female",40," United-States"," <=50K"
24," Private",13," Never-married"," Sales"," Not-in-family"," White"," Female",40," United-States"," <=50K"
21," Private",10," Never-married"," Sales"," Own-child"," White"," Female",40," United-States"," <=50K"
26," Private",10," Never-married"," Adm-clerical"," Not-in-family"," White"," Female",40," United-States"," <=50K"
25," Private",13," Never-married"," Exec-managerial"," Not-in-family"," White"," Female",40," United-States"," <=50K"
38," Private",9," Married-civ-spouse"," Machine-op-inspct"," Husband"," White"," Male",40," United-States"," <=50K"
58," Private",9," Married-civ-spouse"," Transport-moving"," Husband"," White"," Male",40," United-States"," <=50K"
44," Private",16," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",50," United-States"," <=50K"
37," Private",9," Never-married"," Adm-clerical"," Own-child"," White"," Male",38," United-States"," <=50K"
25," Private",9," Never-married"," Machine-op-inspct"," Not-in-family"," White"," Male",40," United-States"," <=50K"
34," Private",9," Never-married"," Handlers-cleaners"," Not-in-family"," White"," Male",40," United-States"," <=50K"
25," Private",9," Never-married"," Adm-clerical"," Own-child"," White"," Female",40," United-States"," <=50K"
24," Private",9," Married-civ-spouse"," Other-service"," Husband"," White"," Male",40," United-States"," <=50K"
37," Private",9," Never-married"," Adm-clerical"," Own-child"," White"," Male",38," United-States"," <=50K"
40," Private",6," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",50," United-States"," <=50K"
20," Private",10," Never-married"," Adm-clerical"," Own-child"," White"," Female",35," United-States"," <=50K"
56," Local-gov",9," Married-civ-spouse"," Transport-moving"," Husband"," White"," Male",40," United-States"," <=50K"
32," Private",13," Never-married"," Prof-specialty"," Not-in-family"," Black"," Female",40," United-States"," <=50K"
38," Private",9," Married-civ-spouse"," Machine-op-inspct"," Husband"," White"," Male",40," United-States"," <=50K"
46," Private",9," Married-civ-spouse"," Handlers-cleaners"," Husband"," White"," Male",40," United-States"," <=50K"
19," Private",10," Never-married"," Handlers-cleaners"," Own-child"," White"," Male",40," United-States"," <=50K"
45," Private",9," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",40," United-States"," <=50K"
26," Private",10," Married-civ-spouse"," Sales"," Husband"," White"," Male",40," United-States"," <=50K"
29," Local-gov",10," Divorced"," Adm-clerical"," Unmarried"," White"," Female",40," United-States"," <=50K"
21," Private",10," Never-married"," Other-service"," Not-in-family"," White"," Female",40," United-States"," <=50K"
36," Private",9," Never-married"," Craft-repair"," Own-child"," Black"," Male",40," United-States"," <=50K"
59," Private",9," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",40," United-States"," <=50K"
42," Private",12," Divorced"," Adm-clerical"," Not-in-family"," White"," Male",40," United-States"," <=50K"
35," Private",9," Married-civ-spouse"," Other-service"," Husband"," White"," Male",40," United-States"," <=50K"
22," Private",9," Never-married"," Adm-clerical"," Own-child"," White"," Female",40," United-States"," <=50K"
32," Private",13," Never-married"," Adm-clerical"," Not-in-family"," White"," Female",40," United-States"," <=50K"
38," Private",9," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",40," United-States"," <=50K"
22," Private",10," Never-married"," Sales"," Own-child"," White"," Male",40," United-States"," <=50K"
46," Private",9," Divorced"," Craft-repair"," Not-in-family"," White"," Male",40," United-States"," <=50K"
29," Private",9," Married-civ-spouse"," Sales"," Husband"," White"," Male",50," United-States"," <=50K"
52," Private",11," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",40," United-States"," <=50K"
47," Private",9," Divorced"," Sales"," Unmarried"," White"," Female",45," United-States"," <=50K"
36," Local-gov",14," Married-civ-spouse"," Prof-specialty"," Wife"," White"," Female",40," United-States"," <=50K"
45," Private",10," Married-civ-spouse"," Adm-clerical"," Husband"," White"," Male",40," United-States"," <=50K"
41," Private",9," Never-married"," Other-service"," Own-child"," White"," Male",40," United-States"," <=50K"
23," Private",10," Never-married"," Exec-managerial"," Not-in-family"," White"," Male",40," United-States"," <=50K"
36," Private",9," Divorced"," Adm-clerical"," Unmarried"," White"," Female",35," United-States"," <=50K"
35," Private",9," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",40," United-States"," <=50K"
39," Private",10," Never-married"," Craft-repair"," Not-in-family"," White"," Male",40," United-States"," <=50K"
64," Private",10," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",40," United-States"," <=50K"
23," Private",10," Never-married"," Other-service"," Own-child"," White"," Female",40," United-States"," <=50K"
38," Self-emp-not-inc",9," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",50," United-States"," <=50K"
38," Private",9," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",44," United-States"," <=50K"
34," Private",9," Never-married"," Machine-op-inspct"," Unmarried"," Black"," Female",40," United-States"," <=50K"
24," Private",10," Never-married"," Adm-clerical"," Not-in-family"," White"," Female",40," United-States"," <=50K"
24," Private",9," Never-married"," Handlers-cleaners"," Unmarried"," Black"," Female",40," United-States"," <=50K"
18," Private",7," Never-married"," Handlers-cleaners"," Not-in-family"," White"," Male",40," United-States"," <=50K"
29," Private",9," Divorced"," Machine-op-inspct"," Unmarried"," White"," Female",40," United-States"," <=50K"
31," Private",13," Never-married"," Prof-specialty"," Not-in-family"," White"," Female",40," United-States"," <=50K"
35," Private",13," Married-civ-spouse"," Other-service"," Husband"," White"," Male",40," United-States"," <=50K"
33," Private",9," Never-married"," Adm-clerical"," Not-in-family"," White"," Male",40," United-States"," <=50K"
34," Private",14," Never-married"," Exec-managerial"," Not-in-family"," White"," Female",50," United-States"," <=50K"
35," Private",9," Divorced"," Other-service"," Not-in-family"," White"," Female",35," United-States"," <=50K"
42," Private",10," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",40," United-States"," <=50K"
32," Private",9," Never-married"," Craft-repair"," Not-in-family"," White"," Male",40," United-States"," <=50K"
39," Private",9," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",40," United-States"," <=50K"
23," Private",9," Never-married"," Handlers-cleaners"," Own-child"," Black"," Male",40," United-States"," <=50K"
30," Private",9," Married-civ-spouse"," Sales"," Husband"," White"," Male",40," United-States"," <=50K"
38," Private",10," Married-civ-spouse"," Sales"," Wife"," White"," Female",40," United-States"," <=50K"
39," Private",10," Married-civ-spouse"," Machine-op-inspct"," Husband"," White"," Male",40," United-States"," <=50K"
34," Private",9," Married-civ-spouse"," Machine-op-inspct"," Husband"," White"," Male",40," United-States"," <=50K"
24," Private",13," Never-married"," Adm-clerical"," Own-child"," White"," Female",40," United-States"," <=50K"
34," Private",13," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",40," United-States"," <=50K"
47," Private",9," Married-civ-spouse"," Handlers-cleaners"," Husband"," White"," Male",40," United-States"," <=50K"
41," Private",9," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",40," United-States"," <=50K"
43," Private",10," Married-civ-spouse"," Machine-op-inspct"," Husband"," White"," Male",40," Mexico"," <=50K"
23," Private",10," Never-married"," Sales"," Not-in-family"," White"," Male",40," United-States"," <=50K"
28," Private",9," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",40," United-States"," <=50K"
41," Private",9," Divorced"," Craft-repair"," Not-in-family"," White"," Male",40," United-States"," <=50K"
23," Private",13," Never-married"," Prof-specialty"," Own-child"," White"," Male",40," United-States"," <=50K"
42," Private",10," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",40," United-States"," <=50K"
35," Private",11," Divorced"," Prof-specialty"," Unmarried"," White"," Female",40," United-States"," <=50K"
23," Private",13," Never-married"," Adm-clerical"," Own-child"," White"," Male",40," United-States"," <=50K"
35," Private",9," Divorced"," Craft-repair"," Not-in-family"," White"," Male",40," United-States"," <=50K"
23," Private",13," Never-married"," Sales"," Not-in-family"," White"," Female",40," United-States"," <=50K"
38," Private",13," Never-married"," Adm-clerical"," Not-in-family"," White"," Female",50," United-States"," <=50K"
30," Private",7," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",45," United-States"," <=50K"
25," Private",9," Married-civ-spouse"," Sales"," Husband"," White"," Male",40," United-States"," <=50K"
50," Local-gov",9," Married-civ-spouse"," Transport-moving"," Husband"," White"," Male",40," United-States"," <=50K"
26," Private",9," Never-married"," Craft-repair"," Other-relative"," White"," Male",40," United-States"," <=50K"
38," Private",9," Married-civ-spouse"," Machine-op-inspct"," Husband"," White"," Male",40," United-States"," <=50K"
41," Private",10," Married-civ-spouse"," Sales"," Husband"," White"," Male",50," United-States"," <=50K"
29," Private",13," Never-married"," Craft-repair"," Not-in-family"," White"," Male",40," United-States"," <=50K"
33," Private",9," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",40," United-States"," <=50K"
39," Private",13," Married-civ-spouse"," Adm-clerical"," Husband"," White"," Male",45," United-States"," <=50K"
42," Private",13," Divorced"," Adm-clerical"," Not-in-family"," White"," Female",40," United-States"," <=50K"
50," Private",13," Divorced"," Exec-managerial"," Unmarried"," White"," Female",40," United-States"," <=50K"
33," Private",9," Never-married"," Machine-op-inspct"," Not-in-family"," White"," Male",40," United-States"," <=50K"
26," Private",10," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",40," United-States"," <=50K"
38," Private",13," Divorced"," Sales"," Own-child"," White"," Male",50," United-States"," <=50K"
27," Private",10," Never-married"," Sales"," Not-in-family"," White"," Male",40," United-States"," <=50K"
32," Private",9," Divorced"," Craft-repair"," Own-child"," White"," Male",40," United-States"," <=50K"
27," Private",9," Never-married"," Adm-clerical"," Not-in-family"," White"," Male",50," United-States"," <=50K"
41," Private",9," Married-civ-spouse"," Transport-moving"," Husband"," White"," Male",40," United-States"," <=50K"
32," Private",9," Divorced"," Craft-repair"," Own-child"," White"," Male",40," United-States"," <=50K"
18," Private",9," Never-married"," Machine-op-inspct"," Own-child"," White"," Male",40," United-States"," <=50K"
39," Private",9," Divorced"," Machine-op-inspct"," Unmarried"," White"," Female",40," United-States"," <=50K"
24," Private",9," Never-married"," Exec-managerial"," Own-child"," White"," Male",40," United-States"," <=50K"
36," Private",9," Never-married"," Machine-op-inspct"," Not-in-family"," White"," Male",40," United-States"," <=50K"
34," Private",9," Never-married"," Handlers-cleaners"," Not-in-family"," White"," Male",40," United-States"," <=50K"
24," Private",9," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",40," United-States"," <=50K"
35," Private",7," Married-civ-spouse"," Farming-fishing"," Husband"," White"," Male",40," United-States"," <=50K"
18," Private",9," Never-married"," Sales"," Own-child"," White"," Female",40," United-States"," <=50K"
42," Self-emp-not-inc",10," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",45," United-States"," <=50K"
39," Private",10," Married-civ-spouse"," Sales"," Husband"," White"," Male",40," United-States"," <=50K"
21," Private",9," Never-married"," Craft-repair"," Not-in-family"," White"," Male",40," United-States"," <=50K"
24," Private",9," Never-married"," Adm-clerical"," Own-child"," White"," Female",40," United-States"," <=50K"
36," Private",9," Married-civ-spouse"," Transport-moving"," Husband"," White"," Male",50," United-States"," <=50K"
26," Private",6," Married-civ-spouse"," Handlers-cleaners"," Husband"," White"," Male",40," United-States"," <=50K"
30," Private",9," Never-married"," Transport-moving"," Own-child"," Black"," Male",40," United-States"," <=50K"
24," Private",13," Never-married"," Adm-clerical"," Own-child"," White"," Female",40," United-States"," <=50K"
44," Private",9," Married-civ-spouse"," Craft-repair"," Husband"," Black"," Male",40," United-States"," <=50K"
41," Private",11," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",45," United-States"," <=50K"
29," Private",9," Never-married"," Handlers-cleaners"," Own-child"," White"," Male",40," United-States"," <=50K"
30," Private",9," Married-civ-spouse"," Transport-moving"," Husband"," White"," Male",40," United-States"," <=50K"
23," Private",9," Never-married"," Machine-op-inspct"," Own-child"," White"," Male",40," United-States"," <=50K"
18," State-gov",9," Never-married"," Adm-clerical"," Own-child"," White"," Male",40," United-States"," <=50K"
62," Private",13," Married-civ-spouse"," Machine-op-inspct"," Husband"," White"," Male",40," United-States"," <=50K"
33," Private",10," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",50," United-States"," <=50K"
27," Private",13," Never-married"," Exec-managerial"," Not-in-family"," White"," Female",40," United-States"," <=50K"
56," Private",9," Married-civ-spouse"," Adm-clerical"," Husband"," White"," Male",40," United-States"," <=50K"
23," Private",9," Never-married"," Handlers-cleaners"," Not-in-family"," White"," Male",40," United-States"," <=50K"
27," Private",9," Divorced"," Craft-repair"," Not-in-family"," White"," Male",50," United-States"," <=50K"
55," Private",9," Married-civ-spouse"," Other-service"," Husband"," White"," Male",40," United-States"," <=50K"
43," Private",6," Married-civ-spouse"," Adm-clerical"," Husband"," White"," Male",40," United-States"," <=50K"
37," Private",10," Married-civ-spouse"," Machine-op-inspct"," Husband"," White"," Male",40," United-States"," <=50K"
32," Private",10," Never-married"," Adm-clerical"," Own-child"," White"," Female",40," United-States"," <=50K"
23," Private",10," Never-married"," Sales"," Not-in-family"," White"," Male",40," United-States"," <=50K"
21," Private",9," Never-married"," Other-service"," Not-in-family"," White"," Male",35," United-States"," <=50K"
48," Private",7," Married-civ-spouse"," Machine-op-inspct"," Husband"," White"," Male",40," United-States"," <=50K"
32," Private",13," Never-married"," Exec-managerial"," Not-in-family"," White"," Male",40," United-States"," <=50K"
28," Private",9," Married-civ-spouse"," Transport-moving"," Husband"," White"," Male",50," United-States"," <=50K"
39," Private",9," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",40," United-States"," <=50K"
29," Private",10," Never-married"," Adm-clerical"," Not-in-family"," White"," Female",40," United-States"," <=50K"
23," Private",10," Never-married"," Machine-op-inspct"," Own-child"," White"," Male",40," United-States"," <=50K"
42," Private",9," Divorced"," Transport-moving"," Not-in-family"," White"," Male",40," United-States"," <=50K"
24," Private",9," Never-married"," Craft-repair"," Own-child"," White"," Male",40," United-States"," <=50K"
23," Private",10," Never-married"," Adm-clerical"," Not-in-family"," White"," Female",40," United-States"," <=50K"
58," Private",9," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",40," United-States"," <=50K"
48," Private",10," Divorced"," Craft-repair"," Not-in-family"," White"," Male",40," United-States"," <=50K"
40," Private",9," Divorced"," Craft-repair"," Unmarried"," White"," Male",40," United-States"," <=50K"
34," Private",10," Married-civ-spouse"," Handlers-cleaners"," Husband"," White"," Male",40," United-States"," <=50K"
31," Private",9," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",40," United-States"," <=50K"
22," Private",9," Never-married"," Craft-repair"," Not-in-family"," White"," Male",50," United-States"," <=50K"
23," Private",10," Married-civ-spouse"," Other-service"," Husband"," White"," Male",40," United-States"," <=50K"
32," Private",11," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",50," United-States"," <=50K"
33," Private",10," Divorced"," Adm-clerical"," Not-in-family"," White"," Female",40," United-States"," <=50K"
21," Private",10," Never-married"," Sales"," Not-in-family"," White"," Male",40," United-States"," <=50K"
47," Private",14," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",40," United-States"," <=50K"
30," Private",12," Never-married"," Prof-specialty"," Not-in-family"," White"," Female",40," United-States"," <=50K"
22," Private",10," Never-married"," Other-service"," Own-child"," White"," Female",35," United-States"," <=50K"
24," Private",13," Never-married"," Sales"," Not-in-family"," White"," Male",45," United-States"," <=50K"
35," Private",13," Never-married"," Sales"," Not-in-family"," White"," Male",50," United-States"," <=50K"
37," Private",9," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",40," United-States"," <=50K"
44," Private",13," Never-married"," Prof-specialty"," Not-in-family"," White"," Male",40," United-States"," <=50K"
22," Private",9," Never-married"," Adm-clerical"," Not-in-family"," White"," Female",40," United-States"," <=50K"
40," Private",9," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",45," United-States"," <=50K"
59," Private",16," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",50," United-States"," <=50K"
24," Private",13," Never-married"," Sales"," Own-child"," White"," Female",35," United-States"," <=50K"
30," Private",13," Never-married"," Sales"," Not-in-family"," White"," Male",40," United-States"," <=50K"
47," Private",9," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",40," United-States"," <=50K"
48," Local-gov",13," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",40," United-States"," <=50K"
40," Private",9," Never-married"," Adm-clerical"," Not-in-family"," White"," Female",40," United-States"," <=50K"
29," Private",10," Never-married"," Adm-clerical"," Not-in-family"," White"," Female",40," United-States"," <=50K"
26," Private",9," Never-married"," Adm-clerical"," Own-child"," White"," Female",40," United-States"," <=50K"
42," Private",10," Divorced"," Machine-op-inspct"," Not-in-family"," White"," Female",40," United-States"," <=50K"
19," Private",9," Never-married"," Craft-repair"," Own-child"," White"," Male",40," United-States"," <=50K"
26," Private",9," Never-married"," Transport-moving"," Not-in-family"," White"," Male",40," United-States"," <=50K"
35," Private",6," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",40," United-States"," <=50K"
24," Private",10," Never-married"," Handlers-cleaners"," Own-child"," White"," Male",40," United-States"," <=50K"
33," Private",9," Divorced"," Adm-clerical"," Unmarried"," Black"," Female",40," United-States"," <=50K"
38," Private",9," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",44," United-States"," <=50K"
53," Private",9," Married-civ-spouse"," Machine-op-inspct"," Husband"," White"," Male",40," United-States"," <=50K"
33," Private",9," Divorced"," Transport-moving"," Not-in-family"," White"," Male",45," United-States"," <=50K"
50," Private",13," Married-civ-spouse"," Sales"," Husband"," White"," Male",40," United-States"," <=50K"
23," Private",13," Never-married"," Adm-clerical"," Not-in-family"," White"," Female",40," United-States"," <=50K"
34," Private",10," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",40," United-States"," <=50K"
38," Private",9," Divorced"," Craft-repair"," Unmarried"," White"," Male",40," United-States"," <=50K"
19," Private",9," Never-married"," Craft-repair"," Own-child"," White"," Male",40," United-States"," <=50K"
39," Self-emp-not-inc",9," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",40," United-States"," <=50K"
39," Private",10," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",40," United-States"," <=50K"
32," Private",9," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",40," United-States"," <=50K"
32," Private",9," Separated"," Adm-clerical"," Unmarried"," White"," Female",40," United-States"," <=50K"
37," Private",9," Never-married"," Machine-op-inspct"," Not-in-family"," White"," Male",40," United-States"," <=50K"
36," Private",9," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",40," United-States"," <=50K"
42," Private",9," Divorced"," Machine-op-inspct"," Not-in-family"," White"," Female",40," United-States"," <=50K"
28," Private",9," Never-married"," Craft-repair"," Unmarried"," White"," Male",40," Mexico"," <=50K"
22," Private",10," Never-married"," Adm-clerical"," Own-child"," White"," Male",35," United-States"," <=50K"
35," Private",13," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",50," United-States"," <=50K"
25," Private",9," Never-married"," Handlers-cleaners"," Other-relative"," White"," Male",40," United-States"," <=50K"
29," Private",9," Never-married"," Handlers-cleaners"," Own-child"," White"," Male",40," United-States"," <=50K"
25," Private",13," Never-married"," Exec-managerial"," Own-child"," White"," Male",40," United-States"," <=50K"
46," Private",10," Married-civ-spouse"," Adm-clerical"," Husband"," White"," Male",40," United-States"," <=50K"
31," Private",9," Divorced"," Adm-clerical"," Not-in-family"," White"," Female",40," United-States"," <=50K"
24," Private",9," Never-married"," Adm-clerical"," Not-in-family"," White"," Female",40," United-States"," <=50K"
49," Self-emp-inc",13," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",50," United-States"," <=50K"
29," Private",13," Never-married"," Exec-managerial"," Not-in-family"," White"," Female",40," United-States"," <=50K"
26," Private",13," Never-married"," Sales"," Own-child"," White"," Male",45," United-States"," <=50K"
32," Private",13," Never-married"," Prof-specialty"," Own-child"," White"," Male",40," United-States"," <=50K"
33," Private",13," Never-married"," Exec-managerial"," Not-in-family"," White"," Female",40," United-States"," <=50K"
28," Private",10," Married-civ-spouse"," Sales"," Husband"," White"," Male",40," United-States"," <=50K"
42," Private",13," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",40," United-States"," <=50K"
56," Self-emp-not-inc",10," Married-civ-spouse"," Farming-fishing"," Husband"," White"," Male",50," United-States"," <=50K"
36," Private",10," Never-married"," Sales"," Not-in-family"," White"," Male",50," United-States"," <=50K"
28," Private",9," Never-married"," Machine-op-inspct"," Own-child"," White"," Male",40," United-States"," <=50K"
30," Local-gov",9," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",40," United-States"," <=50K"
29," Private",9," Never-married"," Machine-op-inspct"," Unmarried"," Black"," Female",40," United-States"," <=50K"
46," Private",9," Married-civ-spouse"," Sales"," Wife"," White"," Female",40," United-States"," <=50K"
56," Private",10," Divorced"," Adm-clerical"," Not-in-family"," White"," Female",40," United-States"," <=50K"
24," Private",13," Never-married"," Exec-managerial"," Own-child"," White"," Male",40," United-States"," <=50K"
56," Private",9," Divorced"," Adm-clerical"," Not-in-family"," White"," Female",40," United-States"," <=50K"
23," Private",9," Married-civ-spouse"," Sales"," Husband"," White"," Male",40," United-States"," <=50K"
53," Private",9," Married-civ-spouse"," Machine-op-inspct"," Husband"," White"," Male",40," United-States"," <=50K"
53," Private",9," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",40," United-States"," <=50K"
21," Private",9," Never-married"," Adm-clerical"," Unmarried"," White"," Male",40," United-States"," <=50K"
32," State-gov",14," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",50," United-States"," <=50K"
26," Private",9," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",40," United-States"," <=50K"
35," Private",9," Married-civ-spouse"," Sales"," Husband"," White"," Male",45," United-States"," <=50K"
41," Self-emp-not-inc",9," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",50," United-States"," <=50K"
34," Private",9," Married-civ-spouse"," Transport-moving"," Husband"," White"," Male",40," United-States"," <=50K"
33," Private",9," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",50," United-States"," <=50K"
38," Private",9," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",50," United-States"," <=50K"
36," Private",9," Married-civ-spouse"," Machine-op-inspct"," Husband"," White"," Male",40," United-States"," <=50K"
39," Private",9," Never-married"," Adm-clerical"," Unmarried"," Black"," Female",40," United-States"," <=50K"
33," Private",9," Married-civ-spouse"," Handlers-cleaners"," Husband"," White"," Male",40," United-States"," <=50K"
51," Private",9," Married-civ-spouse"," Adm-clerical"," Wife"," White"," Female",40," United-States"," <=50K"
37," Private",9," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",40," United-States"," <=50K"
24," Local-gov",9," Never-married"," Protective-serv"," Not-in-family"," White"," Male",40," United-States"," <=50K"
20," Private",9," Never-married"," Adm-clerical"," Own-child"," White"," Male",40," United-States"," <=50K"
38," Private",10," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",40," United-States"," <=50K"
45," Private",12," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",45," United-States"," <=50K"
48," Private",9," Married-civ-spouse"," Machine-op-inspct"," Husband"," White"," Male",40," United-States"," <=50K"
25," Private",10," Married-civ-spouse"," Sales"," Husband"," White"," Male",50," United-States"," <=50K"
27," Private",13," Never-married"," Sales"," Not-in-family"," White"," Female",40," United-States"," <=50K"
29," Private",13," Never-married"," Sales"," Own-child"," White"," Female",40," United-States"," <=50K"
39," Private",9," Divorced"," Other-service"," Unmarried"," White"," Female",40," United-States"," <=50K"
58," Private",9," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",40," United-States"," <=50K"
26," Private",9," Divorced"," Craft-repair"," Not-in-family"," White"," Male",40," United-States"," <=50K"
35," Private",13," Never-married"," Prof-specialty"," Not-in-family"," White"," Male",50," United-States"," <=50K"
38," Private",10," Married-civ-spouse"," Sales"," Husband"," White"," Male",50," United-States"," <=50K"
43," Private",9," Divorced"," Adm-clerical"," Not-in-family"," White"," Female",40," United-States"," <=50K"
22," Private",10," Never-married"," Adm-clerical"," Own-child"," White"," Male",40," United-States"," <=50K"
40," Private",14," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",50," United-States"," <=50K"
36," Private",9," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",40," United-States"," <=50K"
22," Private",9," Never-married"," Adm-clerical"," Own-child"," White"," Female",40," United-States"," <=50K"
20," Private",9," Never-married"," Other-service"," Own-child"," White"," Male",35," United-States"," <=50K"
20," Private",10," Never-married"," Machine-op-inspct"," Not-in-family"," White"," Female",40," United-States"," <=50K"
37," Private",9," Never-married"," Craft-repair"," Not-in-family"," White"," Male",40," United-States"," <=50K"
25," Private",9," Never-married"," Adm-clerical"," Own-child"," White"," Female",40," United-States"," <=50K"
51," Federal-gov",9," Married-civ-spouse"," Adm-clerical"," Husband"," White"," Male",40," United-States"," <=50K"
22," Private",9," Never-married"," Other-service"," Not-in-family"," White"," Female",40," United-States"," <=50K"
44," Private",9," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",40," United-States"," <=50K"
34," Private",13," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",40," United-States"," <=50K"
19," Private",10," Never-married"," Adm-clerical"," Own-child"," White"," Male",40," United-States"," <=50K"
34," Private",9," Never-married"," Craft-repair"," Not-in-family"," White"," Male",40," United-States"," <=50K"
52," Private",9," Divorced"," Adm-clerical"," Not-in-family"," White"," Female",40," United-States"," <=50K"
